organisms,Organism Groups,Assembly,Size(Mb),GC%
Halomonas olivaria,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004295565.1,4.99808,55.3
Litorilituus sediminis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004295665.1,4.27572,39.4
Egicoccus halophilus,Bacteria;Terrabacteria group;Actinobacteria,GCA_004300825.1,3.98016,72.6
Cellulomonas biazotea,Bacteria;Terrabacteria group;Actinobacteria,GCA_004306155.1,4.37688,74.5
Lachnoclostridium pacaense,Bacteria;Terrabacteria group;Firmicutes,GCA_900566185.1,2.6722,50
Bacilliculturomica massiliensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900605495.1,4.51636,54.8
Olivibacter jilunii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_900607235.1,6.70405,41.2
Senegalia massiliensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900626135.1,2.87401,27.7
Intestinimonas timonensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900626145.1,3.44457,59
Gracilibacillus phocaeensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900626275.1,4.65917,39.6
Streptomyces netropsis,Bacteria;Terrabacteria group;Actinobacteria,GCA_900290435.1,6.88051,71.8
Aquirufa antheringensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004307415.1,2.53066,42.7
Hyunsoonleella pacifica,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004310335.1,4.12788,32.7
Methanofervidicoccus abyssi,Archaea;Euryarchaeota;Methanomada group,GCA_004310395.1,1.30815,35.3
Pedobacter kyonggii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004310665.1,6.18618,38.8
Dyella terrae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004322705.1,4.22452,63.8
Massilia albidiflava,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004322755.1,7.43716,65.8
Egibacter rhizosphaerae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004322855.1,4.63717,71.7
Westiellopsis prolifica IICB1,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_004323185.1,7.31343,40.2
Lichenihabitans psoromatis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004323635.1,4.83648,63.0982
Lactobacillus mudanjiangensis,Bacteria;Terrabacteria group;Firmicutes,GCA_005405385.1,3.28961,43.1
Brevilactibacter sinopodophylli,Bacteria;Terrabacteria group;Actinobacteria,GCA_004324755.1,3.07451,70.8
Propioniciclava tarda,Bacteria;Terrabacteria group;Actinobacteria,GCA_004324765.1,2.98445,69.4
Kribbella sindirgiensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004331435.1,8.89173,68.5
Micromonospora zingiberis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004331455.1,6.50603,71.2
Kribbella pittospori,Bacteria;Terrabacteria group;Actinobacteria,GCA_004331465.1,9.49181,68.1
Oricola cellulosilytica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004331745.1,3.70566,61.5
Ureibacillus thermophilus,Bacteria;Terrabacteria group;Firmicutes,GCA_004331915.1,3.01733,38.5
Roseitalea porphyridii,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004331955.1,3.53967,66.6
Klenkia marina,Bacteria;Terrabacteria group;Actinobacteria,GCA_900101025.1,4.21922,74.4
Evtepia gabavorous,Bacteria;Terrabacteria group;Firmicutes,GCA_008121455.1,2.49441,58.2
Dyella soli,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004336905.1,8.186,65
Bacillus aciditolerans,Bacteria;Terrabacteria group;Firmicutes,GCA_003640645.1,5.92205,40
Marinitoga lauensis,Bacteria;Thermotogae;Thermotogae,GCA_004135675.1,2.5952,27.9
Rubrobacter taiwanensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004337705.1,3.03513,67.2
Seleniivibrio woodruffii,Bacteria;Deferribacteres;Deferribacteres,GCA_007827295.1,2.92529,48.2
Thiogranum longum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004339085.1,2.91691,55
Celerinatantimonas diazotrophica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004339545.1,3.96944,43.6
Pseudonocardia endophytica,Bacteria;Terrabacteria group;Actinobacteria,GCA_004339565.1,7.56799,72.8
Phorcysia thermohydrogeniphila,Bacteria;Aquificae;Aquificae,GCA_004339575.1,1.62141,44.9
Marinobacterium mangrovicola,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004339595.1,4.97995,57.1
Lonepinella koalarum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004339625.1,2.48677,39.1
Rhodovulum steppense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004339675.1,3.66595,67.3
Acidipila rosea,Bacteria;Acidobacteria;Acidobacteriia,GCA_004339725.1,4.21373,58.8
Albibacterium bauzanense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004339765.1,3.08144,36.5
Anaerospora hongkongensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004339805.1,4.63231,46.2
Acetobacteroides hydrogenigenes,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004340205.1,3.8611,45.7
Pedobacter psychrotolerans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004340665.1,5.19395,37.4
Hydrogenispora ethanolica,Bacteria;Terrabacteria group;Firmicutes,GCA_004340685.1,5.98349,54.2
Tamaricihabitans halophyticus,Bacteria;Terrabacteria group;Actinobacteria,GCA_004340875.1,6.3974,66.2
Frisingicoccus caecimuris,Bacteria;Terrabacteria group;Firmicutes,GCA_004340975.1,2.71636,43.7
Cricetibacter osteomyelitidis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004340985.1,2.73204,40.8
Scopulibacillus darangshiensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004341035.1,4.66033,41.8
Reinekea marinisedimentorum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004341165.1,4.23084,50.6
Thermolongibacillus altinsuensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004341205.1,2.90094,40.8
Mariniflexile fucanivorans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004341235.1,4.73558,33.2
Plasticicumulans lactativorans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004341245.1,4.39758,70.6
Uruburuella suis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004341385.1,2.6417,54.6
Heliophilum fasciatum,Bacteria;Terrabacteria group;Firmicutes,GCA_004341395.1,3.14223,50.9
Baia soyae,Bacteria;Terrabacteria group;Firmicutes,GCA_004341445.1,2.92191,42
Pectinatus cerevisiiphilus,Bacteria;Terrabacteria group;Firmicutes,GCA_004341685.1,2.63749,38.5
Varunaivibrio sulfuroxidans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004341725.1,3.03344,59.4
Hazenella coriacea,Bacteria;Terrabacteria group;Firmicutes,GCA_004341825.1,3.03132,39.4
Shinella granuli,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004341885.1,6.59083,65
Longicatena caecimuris,Bacteria;Terrabacteria group;Firmicutes,GCA_004341945.1,2.94508,37.8
Paracandidimonas soli,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004342005.1,3.89281,62.5
Primorskyibacter sedentarius,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004342065.1,5.0695,60.8
Natranaerovirga pectinivora,Bacteria;Terrabacteria group;Firmicutes,GCA_004342165.1,3.0611,31.3
Thiobaca trueperi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004342175.1,4.07339,62.1
Rhizobium azibense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004342325.1,6.71789,59.6
Samsonia erythrinae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004342665.1,3.87902,52.9
Sphingobacterium alimentarium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004342685.1,3.5768,38.6
Tepidibacillus fermentans,Bacteria;Terrabacteria group;Firmicutes,GCA_004342885.1,2.42411,36.6
Melghiribacillus thermohalophilus,Bacteria;Terrabacteria group;Firmicutes,GCA_004342905.1,3.01508,42.1
Camelimonas lactis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004342915.1,4.17663,66.3
Longibaculum muris,Bacteria;Terrabacteria group;Firmicutes,GCA_004343035.1,3.16796,30.8
Biostraticola tofi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004343195.1,4.29087,53.9
Keratinibaculum paraultunense,Bacteria;Terrabacteria group;Firmicutes,GCA_004343355.1,2.24861,29.4
Rhodovulum bhavnagarense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004343505.1,3.15594,64.2
Flavobacterium circumlabens,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004345565.1,5.75647,35.8
Cocleimonas flava,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004339015.1,4.49158,40.6
Volucribacter psittacicida,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004339025.1,2.26769,38.2
Natranaerovirga hydrolytica,Bacteria;Terrabacteria group;Firmicutes,GCA_004339095.1,2.98406,32.3
Shewanella fodinae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004342405.1,4.03497,49
Dokdonella fugitiva,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004342425.1,4.28014,69.4
Rhodovulum euryhalinum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004342445.1,3.78913,67.9
Pelomonas saccharophila,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004342485.1,5.77102,68.9
Tepidimonas ignava,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004342625.1,2.7079,68.8
Natronoflexus pectinivorans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004345615.1,4.47228,39.6
Actinocrispum wychmicini,Bacteria;Terrabacteria group;Actinobacteria,GCA_004345645.1,12.0113,68.3
Marinisporobacter balticus,Bacteria;Terrabacteria group;Firmicutes,GCA_004345705.1,3.86539,32.4
Rhodovulum adriaticum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004345735.1,3.35063,65.9
Nicoletella semolina,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004345745.1,1.94553,39.4
Bisgaardia hudsonensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013377195.1,2.12564,33.7
Tenacibaculum skagerrakense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004345825.1,3.7129,31.3
Serpentinicella alkaliphila,Bacteria;Terrabacteria group;Firmicutes,GCA_004345905.1,3.0178,32.1
Anseongella ginsenosidimutans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004346135.1,4.25251,49.9
Phytobacter diazotrophicus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_012923785.1,5.52724,53.2392
Winogradskyella wandonensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004346845.1,2.95832,34.8
Shimia isoporae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004346865.1,4.23276,56.7
Streptomyces tirandamycinicus,Bacteria;Terrabacteria group;Actinobacteria,GCA_003097515.1,7.28949,72.5
Halorussus amylolyticus,Archaea;Euryarchaeota;Stenosarchaea group,GCA_004143485.2,3.77926,64.6
Actinomadura bangladeshensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004348335.1,8.69753,72.1
Muricomes intestini,Bacteria;Terrabacteria group;Firmicutes,GCA_004346165.1,3.71738,43.1
Aquabacter spiritensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004346185.1,5.16288,67.6
Tepidamorphus gemmatus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004346195.1,3.7819,67.6
Paralcaligenes ureilyticus,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004346225.1,4.36779,57.8
Kribbella albertanoniae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004348455.1,9.72734,67.4
Streptomyces hainanensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004348415.1,7.99137,73
Actinomadura darangshiensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004349235.1,9.88606,71.7
Kribbella antibiotica,Bacteria;Terrabacteria group;Actinobacteria,GCA_004349055.1,9.27924,67
Pseudomonas humi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001748265.1,6.99399,67.2
Achromobacter aegrifaciens,Bacteria;Proteobacteria;Betaproteobacteria,GCA_902859965.1,6.67398,66.1
Luteimonas arsenica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004352825.1,2.96559,70.2
Luteimonas terricola,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004352845.1,3.03964,69.3
Clostridium cuniculi,Bacteria;Terrabacteria group;Firmicutes,GCA_004353185.1,4.1521,27.9
Luteimonas aestuarii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004357985.1,3.72796,67.6
Luteimonas terrae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004358165.1,3.56926,68.5
Sapientia aquatica,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004358105.1,4.43008,48.3
Qipengyuania sediminis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004358425.1,2.416,66.8
Fluviibacterium aquatile,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004358675.1,4.22654,58.2
Macrococcus carouselicus,Bacteria;Terrabacteria group;Firmicutes,GCA_004359515.1,2.07653,43.8
Macrococcus lamae,Bacteria;Terrabacteria group;Firmicutes,GCA_004359545.1,2.04327,40.3
Macrococcus hajekii,Bacteria;Terrabacteria group;Firmicutes,GCA_004359505.1,2.06905,40.1
Macrococcus bovicus,Bacteria;Terrabacteria group;Firmicutes,GCA_004359575.1,2.09526,44.3
Macrococcus brunensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004359615.1,2.10137,41.6
Macrococcus equipercicus,Bacteria;Terrabacteria group;Firmicutes,GCA_004359525.2,2.11616,44.4
Pectobacterium fontis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000803215.1,4.15156,51.2
Peptoniphilus pacaensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900088125.1,1.85157,49.4
Peptoniphilus raoultii,Bacteria;Terrabacteria group;Firmicutes,GCA_900099555.1,1.6236,31.9
Peptoniphilus vaginalis,Bacteria;Terrabacteria group;Firmicutes,GCA_900176605.1,1.87721,34.2
Paracoccus salipaludis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002287065.1,3.67452,68.6
Jeotgalibacillus proteolyticus,Bacteria;Terrabacteria group;Firmicutes,GCA_002926065.1,4.23308,41.6
Paracraurococcus ruber,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004353985.1,7.16911,72.8
Pseudohoeflea suaedae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004354915.1,3.77216,62.5
Mycobacterium eburneum,Bacteria;Terrabacteria group;Actinobacteria,GCA_004354905.1,5.68286,68.9
Dankookia rubra,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004355005.1,7.78231,70.1
Crenobacter cavernae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_003355495.1,3.27177,65.3
Stakelama pacifica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004361835.1,3.98177,62.9
Azoarcus indigens,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004361735.1,5.46447,67.6
Sediminibacterium goheungense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004361915.1,3.85748,40.9
Marinomonas balearica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004362145.1,3.88203,43.4
Actinoplanes brasiliensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004362215.1,9.75034,70.6
Pedobacter duraquae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004362245.1,5.28826,41.3
Ponticoccus gilvus,Bacteria;Terrabacteria group;Actinobacteria,GCA_004362375.1,4.4304,69.5
Kinneretia asaccharophila,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004362405.1,4.3587,67.5
Paucibacter toxinivorans,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004362525.1,6.36857,66.4
Flavobacterium dankookense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004362665.1,3.21179,32.4
Pedobacter metabolipauper,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004362715.1,5.25114,40.6
Oharaeibacter diazotrophicus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004362745.1,4.99189,71.6
Algoriphagus boseongensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004362805.1,4.17692,41.1
Labedaea rhizosphaerae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004362825.1,8.31718,70.4
Aquabacterium commune,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004362855.1,4.20449,66.4
Zeaxanthinibacter enoshimensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004362865.1,3.33796,46.4
Aminicella lysinilytica,Bacteria;Terrabacteria group;Firmicutes,GCA_004362975.1,2.28676,45.7
Tenacibaculum caenipelagi,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004363005.1,3.26677,31.9
Aureibacillus halotolerans,Bacteria;Terrabacteria group;Firmicutes,GCA_004363045.1,4.38217,44.3
Actinorugispora endophytica,Bacteria;Terrabacteria group;Actinobacteria,GCA_004363075.1,5.25301,72.4
Actinomycetospora succinea,Bacteria;Terrabacteria group;Actinobacteria,GCA_004363095.1,6.46522,74.4
Flavobacterium cheniae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_007830415.1,2.71836,32.4
Hydromonas duriensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004363775.1,2.42761,46.6
Paludibacterium purpuratum,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004363805.1,4.03603,60.7
Enterovirga rhinocerotis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004363955.1,5.16677,68.5
Sphingobacterium paludis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004364125.1,4.78182,43.9
Fonticella tunisiensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004364155.1,3.10312,37
Maribacter caenipelagi,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004364175.1,4.28186,35.2
Maribacter spongiicola,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004364165.1,4.45556,35.1
Chromohalobacter marismortui,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004364315.1,3.55322,61.7
Actinophytocola oryzae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004364325.1,10.706,70.5
Prosthecobacter fusiformis,Bacteria;PVC group;Verrucomicrobia,GCA_004364345.1,5.82811,56.7
Amnibacterium kyonggiense,Bacteria;Terrabacteria group;Actinobacteria,GCA_004364555.1,3.70987,73.1
Nesterenkonia aurantiaca,Bacteria;Terrabacteria group;Actinobacteria,GCA_004364585.1,2.94803,67.6
Naumannella halotolerans,Bacteria;Terrabacteria group;Actinobacteria,GCA_004364645.1,3.47397,67.6
Halospina denitrificans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004364635.1,3.31823,60.1
Myroides indicus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004364575.1,3.06492,34.5
Ilumatobacter fluminis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004364865.1,4.77542,68.6
Permianibacter aggregans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_009756665.1,4.26665,54.4
Maritalea mobilis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004363175.1,3.46732,51.4
Methanimicrococcus blatticola,Archaea;Euryarchaeota;Stenosarchaea group,GCA_004363215.1,1.78332,42
Dongia mobilis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004363235.1,4.18977,64.9
Sphingobacterium yanglingense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004363245.1,5.48539,40.5
Marinomonas communis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004363305.1,3.85446,45.8
Mesocricetibacter intestinalis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004363295.1,2.21477,46.6
Tepidicella xavieri,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004363315.1,2.79062,66
Tahibacter aquaticus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004363655.1,7.26926,65.6
Erwinia rhapontici,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_012271765.1,5.24049,54.1
Panacagrimonas perspica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004364935.1,5.39898,66
Gelidibacter sediminis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004364975.1,3.56432,36.9
Mycoplasma mustelae,Bacteria;Terrabacteria group;Tenericutes,GCA_004365095.1,0.836283,27.8
Hypnocyclicus thermotrophus,Bacteria;Fusobacteria;Fusobacteriia,GCA_004365575.1,2.21893,24.8
Allofrancisella inopinata,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004365555.1,1.71046,31.9
Rhodovulum visakhapatnamense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004365965.1,4.42954,67.5
Dinghuibacter silviterrae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004366355.1,6.49718,55.8
Paraburkholderia rhizosphaerae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004366595.1,7.50296,62.4
Meridianimaribacter flavus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004366715.1,3.22352,33.2
Thiohalophilus thiocyanatoxydans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004366735.1,2.90694,57.4
Alicyclobacillus sacchari,Bacteria;Terrabacteria group;Firmicutes,GCA_004366795.1,2.94632,54.5
Aminivibrio pyruvatiphilus,Bacteria;Synergistetes;Synergistia,GCA_004366815.1,3.34749,59.6
Paenisporosarcina antarctica,Bacteria;Terrabacteria group;Firmicutes,GCA_004367585.1,3.97252,36.962
Litoreibacter halocynthiae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004365635.1,3.68011,58.1
Chryseobacterium xixisoli,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004365655.1,3.38937,36.2
Pseudomonas helmanticensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004365765.1,6.62809,59.1
Breznakia blatticola,Bacteria;Terrabacteria group;Firmicutes,GCA_004365815.1,2.46134,34.1
Cryobacterium psychrophilum,Bacteria;Terrabacteria group;Actinobacteria,GCA_004365915.1,3.67762,64.8
Algibacter wandonensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004368925.1,4.7075,33.3
Rheinheimera aquimaris,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004369005.1,4.29873,49.3
Pelotomaculum schinkii,Bacteria;Terrabacteria group;Firmicutes,GCA_004369205.1,4.43619,48.4
Pelotomaculum propionicicum,Bacteria;Terrabacteria group;Firmicutes,GCA_004369225.1,3.94675,49.2
Mucilaginibacter phyllosphaerae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004378255.1,4.41979,43.7
Gramella jeungdoensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004378585.1,3.64266,30.2
Spiroplasma gladiatoris,Bacteria;Terrabacteria group;Tenericutes,GCA_004379335.1,1.16464,25
Filobacillus milosensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004402015.1,3.24284,35.9
Paraburkholderia dipogonis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004402975.1,10.2635,61.6
Jeotgalibacillus salarius,Bacteria;Terrabacteria group;Firmicutes,GCA_004405125.1,3.42427,41.6
Massilia plicata,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004421005.1,5.88762,65
Nitrosococcus wardiae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004421105.1,4.02264,50.7
Mucilaginibacter psychrotolerans,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004519315.1,6.42297,45.4
Methylocella tundrae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_901905185.2,4.52385,61.7
Microvirga pakistanensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004458765.1,5.76405,63.3
Actinobacillus indolicus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_901764975.1,2.10335,40.1
Dickeya aquatica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900095885.1,4.50156,53.6
Helcococcus ovis,Bacteria;Terrabacteria group;Firmicutes,GCA_004524775.1,1.77072,27.6
Enterococcus crotali,Bacteria;Terrabacteria group;Firmicutes,GCA_000633635.1,3.90209,36.6
Ornithinimicrobium flavum,Bacteria;Terrabacteria group;Actinobacteria,GCA_004526345.1,3.71291,72.5
Micrococcus flavus,Bacteria;Terrabacteria group;Actinobacteria,GCA_004563965.1,2.51842,73.5
Anaerolactibacter massiliensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900290205.1,3.30172,49
Lactimicrobium massiliense,Bacteria;Terrabacteria group;Firmicutes,GCA_900343155.1,2.45757,47.3
Cohnella luojiensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004564235.1,5.04992,49.9
Lentibacillus salicampi,Bacteria;Terrabacteria group;Firmicutes,GCA_004565465.1,3.89772,43
Leifsonia flava,Bacteria;Terrabacteria group;Actinobacteria,GCA_004570845.1,3.78283,68.6
Acidipropionibacterium timonense,Bacteria;Terrabacteria group;Actinobacteria,GCA_900605005.1,2.81651,69.3
Brevundimonas intermedia,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004614235.1,3.34359,66.5
Leptospira johnsonii,Bacteria;Spirochaetes;Spirochaetia,GCA_003112675.1,4.06399,41.3
Leptospira ellinghausenii,Bacteria;Spirochaetes;Spirochaetia,GCA_003114815.1,4.19358,37.3
Leptospira kobayashii,Bacteria;Spirochaetes;Spirochaetia,GCA_003114835.1,4.29479,40.7
Leptospira ryugenii,Bacteria;Spirochaetes;Spirochaetia,GCA_003114855.1,3.9514,39.9
Flavobacterium foetidum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004634245.1,5.10788,35.3
Ramlibacter rhizophilus,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004681965.1,4.59052,69.7
Ramlibacter henchirensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004682015.1,4.79439,68.5
Pseudomonas nabeulensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004682045.1,6.76351,60.3
Pseudomonas kairouanensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004682055.1,6.70232,60.4
Streptomyces palmae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004684805.1,7.49796,72.5
Coprococcus phoceensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900104635.1,3.60126,40.2
Bacillus salacetis,Bacteria;Terrabacteria group;Firmicutes,GCA_003581585.1,4.68104,43.2
Lactobacillus suantsaicola,Bacteria;Terrabacteria group;Firmicutes,GCA_004745525.1,2.60164,36.9
Lactobacillus suantsaiihabitans,Bacteria;Terrabacteria group;Firmicutes,GCA_004745505.1,2.87022,51.8
Hymenobacter wooponensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004745865.1,6.01595,56.1
Hymenobacter elongatus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004745955.1,4.97157,58.9
Sporolactobacillus shoreae,Bacteria;Terrabacteria group;Firmicutes,GCA_004684935.1,3.65487,45.3
Roseovarius aestuariivivens,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004761875.1,3.94156,62
Planomicrobium koreense,Bacteria;Terrabacteria group;Firmicutes,GCA_004761975.1,3.45032,47.6
